barcode,product_name,editeur,supplier_name,total_qty_invoiced,list_price
0000000327435,DE JADIS A DEMAIN VOYAGE DANS L OEUVRE D ALBERT ROBIDA,SILVANA,Dod et cie ,1.00,39.60
0000002031330,PACK DE 10 N 338 - LAISSONS-NOUS DEPLACER - JANVIER-FEVRIER-MARS 2018,IL EST VIVANT,,2.00,55.00
3114520064316,LES ORACLES DE LA SORCIERE,DG-JEUX,Dg diffusion ,2.00,23.88
3114520071642,LA VOYANCE CASH DE JOE,DG-JEUX,Dg diffusion ,8.00,16.8
3114523941584,PETIT LENORMAND,DG-JEUX,Dg diffusion ,5.00,7.56
3127020500062,LE MISTIGROUILLE DE CORNEBIDOUILLE,EDL,Union Distribution (UD),1.00,12.9
3127020501199,J'Y VAIS ! - LE JEU,EDL,Union Distribution (UD),2.00,12.9
3127020501878,LE JEU DE BATAILLE - CORNEBIDOUILLE,EDL,Union Distribution (UD),1.00,8.9
3127020508495,MON COFFRET FAMILLE SOURIS,EDL,Union Distribution (UD),2.00,19.90
3127020508747,SAC EN TISSU MEMOIRES DE LA FORET 2025,EDL,Union Distribution (UD),1.00,15
3260100037512,"CARNET COULEUR ""LE LIVRE DES REVES"" (PAPETERIE)",GALLIMARD,SODIS,2.00,8.2
3260100039196,PVL VIDE 12V MPD BEBE 05/2025,GALLIMARD JEUNESSE,SODIS,1.00,0.00
3260100039257,OPERATION FOLIO JUNIOR LECTURES ETE 2+1,FOLIO JUNIOR,SODIS,3.00,241.80
3700686103398,"",,SODIS,1.00,0
3701580713140,COFFRET LES ENFANTS DE LA RESISTANCE TOME 1 & 2,LOMBARD,MDS France,1.00,29.9
3701580713584,BIPACK (T15-T16) LARGO WINCH,DUPUIS,MDS France,1.00,15.95
3701580713867,COFFRET BUCK DANNY CLASSIC T12 + EX-LIBRIS NUMEROTE ET SIGNE AVEC CALE,ZEPHYR,MDS France,10.00,50
3760333641390,SIX A BORD,GRENOUILLE,SODIS,1.00,21.95
9780714874562,CHINE : LE LIVRE DE CUISINE,PHAIDON FRANCE,SODIS,1.00,49.95
9780714876283,PEROU - LE LIVRE DE CUISINE,PHAIDON FRANCE,SODIS,1.00,49.95
9781291509441,LA MAMAN DE LEON EST MALADE,LULU,Dilibel ,1.00,11.15
9781409593218,COUCOU ! - LE CHATEAU FORT,USBORNE,Interforum ,1.00,9.5
9781773883090,"JE T'AIME, PAPA",PETITS GENIES,Dilisco ,1.00,11.95
9781801319461,LE MONDE DES ABEILLES - P'TITS CURIEUX USBORNE,USBORNE,Interforum ,1.00,9.95
9781803703046,SOUS LA TERRE - COUCOU !,USBORNE,Interforum ,1.00,9.5
9781805077855,MON PETIT GUIDE DE LA NATURE - DES 6 ANS,USBORNE,Interforum ,2.00,9.95
9781805079477,LES PELLETEUSES - MES PETITS VEHICULES - DES 1 AN,USBORNE,Interforum ,2.00,9.95
9781805313229,LE PAPILLON - LE CYCLE DE LA VIE,USBORNE,Interforum ,1.00,7.95
9781835402795,EN VACANCES - PREMIERS AUTOCOLLANTS - DES 3 ANS,USBORNE,Interforum ,3.00,6.5
9781835402818,ACTIVITES D'ETE POUR LES PETITS - DES 3 ANS,USBORNE,Interforum ,6.00,7.95
9781835403204,MON GRAND LIVRE DE COLORIAGE ARC-EN-CIEL - DES 3 ANS,USBORNE,Interforum ,1.00,5.95
9781835403310,MES CHEVEUX ET MOI - DES 6 ANS,USBORNE,Interforum ,1.00,11.95
9781835408032,LA VOITURE DE COURSE - C'EST PARTI ! - DES 1 AN,USBORNE,Interforum ,2.00,9.95
9781838660215,TURQUIE : LE LIVRE DE CUISINE,PHAIDON FRANCE,SODIS,1.00,49.95
9781838660383,LA CUCINA DI BIG MAMMA - LES MEILLEURES RECETTES DE NOS TRATTORIAS,PHAIDON FRANCE,SODIS,1.00,29.95
9782012101562,ASTERIX - T24 - ASTERIX - ASTERIX CHEZ LES BELGES - N 24,HACHETTE,Dilibel ,6.00,11.25
9782013959414,VOYAGER EN TRAIN AVEC HOURRAIL - 45 AVENTURES SANS AVION ET SANS VOITURE,HACHETTE TOURI,Dilibel ,1.00,25.05
9782016277447,LE SECRET DE VOS CHAKRAS - HARMONISEZ VOTRE VIE GRACE A LA CONSCIENCE ENERGETIQUE,LOTUS ELEPHANT,Dilibel ,1.00,19.40
9782016283981,YOGA SOUFFLE DE L'AME - UN LIVRE ESSENTIEL POUR PRATIQUER EN CONSCIENCE,LOTUS ELEPHANT,Dilibel ,2.00,28.15
9782017024941,MA MAMAN EST UNE PIRATE,GAUTIER LANGU.,Dilibel ,1.00,14.55
9782017073703,IL Y A UNE MAISON DANS MA MAMAN,GAUTIER LANGU.,Dilibel ,2.00,11.85
9782017159568,WICCA - LE LIVRE DE SORTILEGES - LE GUIDE INCONTOURNABLE POUR LES SORCIERES ET TOUS LES ADEPTES DE L,LOTUS ELEPHANT,Dilibel ,1.00,18.05
9782017168379,GRAND CAFE D'ATHENES - TOUTE L'AME DE LA GRECE EN 80 RECETTES,HACHETTE PRAT,Dilibel ,2.00,35.15
9782017169062,"SOIGNER SON AURA - PRATIQUES SIMPLES POUR GUERIR, PURIFIER ET LIRE LES COULEURS DE L'AURA",LOTUS ELEPHANT,Dilibel ,1.00,18
9782017169093,ORACLE CHERCHEURS DE LUMIERE,LOTUS ELEPHANT,Dilibel ,7.00,32.15
9782017185208,MANTRATHERAPIE - DECOUVREZ LES POUVOIRS THERAPEUTIQUES DES MANTRAS,LOTUS ELEPHANT,Dilibel ,2.00,18
9782017196167,LE MONDE A BESOIN DE TOI COMME TU ES,LOTUS ELEPHANT,Dilibel ,1.00,15.05
9782017196198,TU N'ES PAS LA PAR HASARD,LOTUS ELEPHANT,Dilibel ,1.00,12.05
9782017196204,SUR LE CHEMIN DU BONHEUR - UN LIVRE POUR ENFANTS SUR LA PLEINE CONSCIENCE,LOTUS ELEPHANT,Dilibel ,1.00,15.05
9782017196273,ORACLE DES PORTES DE CONSCIENCE,LOTUS ELEPHANT,Dilibel ,2.00,30.2
9782017196389,ORACLE DES GUERRIERS DE LUMIERE,LOTUS ELEPHANT,Dilibel ,3.00,30.25
9782017200123,LE YOGA DES SORCIERES - DECOUVRIR LE FEMININ SACRE QUI EST EN NOUS,LOTUS ELEPHANT,Dilibel ,2.00,9
